Nodes,id,Label,log,lat
Ageb 171,171,Ageb 171,-110.9961,29.0506
Ageb 172,172,Ageb 172,-110.9422,29.0194
Ageb 173,173,Ageb 173,-110.9432,29.0104
Ageb 174,174,Ageb 174,-111.0062,29.0511
Ageb 175,175,Ageb 175,-110.9938,29.058
Ageb 176,176,Ageb 176,-111.0029,29.1623
Ageb 177,177,Ageb 177,-111.0084,29.1549
Ageb 178,178,Ageb 178,-110.939,29.0161
Ageb 179,179,Ageb 179,-110.9552,29.0167
Ageb 180,180,Ageb 180,-111.0111,29.0648
Ageb 181,181,Ageb 181,-110.9928,29.0534
Ageb 182,182,Ageb 182,-111.0044,29.0648
Ageb 183,183,Ageb 183,-111.0004,29.0653
Ageb 184,184,Ageb 184,-110.9968,29.0676
Ageb 185,185,Ageb 185,-111.0166,29.0787
Ageb 186,186,Ageb 186,-111.0252,29.0843
Ageb 187,187,Ageb 187,-111.033,29.116
Ageb 188,188,Ageb 188,-111.0399,29.1242
Ageb 189,189,Ageb 189,-111.0148,29.167
Ageb 190,190,Ageb 190,-110.9694,29.154
Ageb 191,191,Ageb 191,-111.0226,29.1484
Ageb 192,192,Ageb 192,-111.0142,29.1771
Ageb 193,193,Ageb 193,-111.0071,29.1765
Ageb 194,194,Ageb 194,-111.001,29.1673
Ageb 195,195,Ageb 195,-111.0001,29.1655
Ageb 196,196,Ageb 196,-110.9999,29.1689
Ageb 197,197,Ageb 197,-111.0551,29.1225
Ageb 198,198,Ageb 198,-111.0553,29.1244
Ageb 199,199,Ageb 199,-111.0516,29.1141
Ageb 200,200,Ageb 200,-111.0539,29.12
Ageb 201,201,Ageb 201,-111.0349,29.1263
Ageb 202,202,Ageb 202,-111.0301,29.1308
Ageb 203,203,Ageb 203,-111.0301,29.1337
Ageb 204,204,Ageb 204,-111.0438,29.1187
Ageb 205,205,Ageb 205,-110.9805,29.0979
Ageb 206,206,Ageb 206,-110.9791,29.1157
Ageb 207,207,Ageb 207,-110.9941,29.1192
Ageb 208,208,Ageb 208,-111.0049,29.0389
Ageb 209,209,Ageb 209,-111.0314,29.1491
Ageb 210,210,Ageb 210,-110.9463,29.1318
Ageb 211,211,Ageb 211,-110.9739,29.1557
Ageb 212,212,Ageb 212,-110.9711,29.1501
Ageb 213,213,Ageb 213,-111.0049,29.1673
Ageb 214,214,Ageb 214,-110.9433,28.9918
Ageb 215,215,Ageb 215,-110.9444,28.9951
Ageb 216,216,Ageb 216,-110.9523,29.091
Ageb 217,217,Ageb 217,-110.9558,29.1043
Ageb 218,218,Ageb 218,-110.9492,29.1064
Ageb 219,219,Ageb 219,-110.9529,29.1247
Ageb 220,220,Ageb 220,-110.947,29.12
Ageb 221,221,Ageb 221,-110.9381,29.111
Ageb 222,222,Ageb 222,-110.9833,29.1299
Ageb 223,223,Ageb 223,-110.996,29.1085
Ageb 224,224,Ageb 224,-111.0199,29.105
Ageb 225,225,Ageb 225,-111.0116,29.1067
Ageb 226,226,Ageb 226,-111.0074,29.1057
Ageb 227,227,Ageb 227,-111.0023,29.1057
Ageb 228,228,Ageb 228,-111.0512,29.0932
Ageb 229,229,Ageb 229,-111.0458,29.085
Ageb 230,230,Ageb 230,-111.034,29.0882
Ageb 231,231,Ageb 231,-111.0114,29.1147
Ageb 232,232,Ageb 232,-110.9609,29.0722
Ageb 233,233,Ageb 233,-110.9798,29.0798
Ageb 234,234,Ageb 234,-110.9744,29.0799
Ageb 235,235,Ageb 235,-110.9737,29.0757
Ageb 236,236,Ageb 236,-110.9432,29.0643
Ageb 237,237,Ageb 237,-110.9779,29.0462
Ageb 238,238,Ageb 238,-110.9389,29.0987
Ageb 239,239,Ageb 239,-110.9622,29.0773
Ageb 240,240,Ageb 240,-110.9903,29.1185
Ageb 241,241,Ageb 241,-110.9785,29.1203
Ageb 242,242,Ageb 242,-110.9626,29.0919
Ageb 243,243,Ageb 243,-110.9736,29.1193
Ageb 244,244,Ageb 244,-110.9875,29.0913
Ageb 245,245,Ageb 245,-110.9829,29.0872
Ageb 246,246,Ageb 246,-110.9629,29.0645
Ageb 247,247,Ageb 247,-110.9568,29.0632
Ageb 248,248,Ageb 248,-110.96,29.0551
Ageb 249,249,Ageb 249,-110.9601,29.0473
Ageb 250,250,Ageb 250,-110.9982,29.1273
Ageb 251,251,Ageb 251,-110.9918,29.1347
Ageb 252,252,Ageb 252,-110.9724,29.1375
Ageb 253,253,Ageb 253,-110.965,29.1369
Ageb 254,254,Ageb 254,-110.9648,29.1317
Ageb 255,255,Ageb 255,-110.9278,29.0996
Ageb 256,256,Ageb 256,-110.9212,29.1034
Ageb 257,257,Ageb 257,-110.9446,29.0311
Ageb 258,258,Ageb 258,-110.9625,29.0375
Ageb 259,259,Ageb 259,-110.9701,29.0528
Ageb 260,260,Ageb 260,-110.952,29.0702
Ageb 261,261,Ageb 261,-110.9271,29.0925
Ageb 262,262,Ageb 262,-110.9698,29.0446
Ageb 263,263,Ageb 263,-110.9338,29.017
Ageb 264,264,Ageb 264,-110.9345,29.0092
Ageb 265,265,Ageb 265,-110.9934,29.1403
Ageb 266,266,Ageb 266,-111.0529,29.1053
Ageb 267,267,Ageb 267,-110.9866,29.0814
Ageb 268,268,Ageb 268,-110.9554,29.0772
Ageb 269,269,Ageb 269,-110.9441,29.0778
Ageb 270,270,Ageb 270,-110.9874,29.1435
Ageb 271,271,Ageb 271,-110.9439,29.074
Ageb 272,272,Ageb 272,-110.981,29.0593
Ageb 273,273,Ageb 273,-110.9213,29.0096
Ageb 274,274,Ageb 274,-110.9652,29.0514
Ageb 275,275,Ageb 275,-110.967,29.1432
Ageb 276,276,Ageb 276,-110.9308,29.0164
Ageb 277,277,Ageb 277,-110.9259,29.0119
Ageb 278,278,Ageb 278,-110.9301,29.0068
Ageb 279,279,Ageb 279,-110.9614,29.1298
Ageb 280,280,Ageb 280,-110.9546,29.1288
Ageb 281,281,Ageb 281,-110.9786,29.1422
Ageb 282,282,Ageb 282,-110.9772,29.1042
Ageb 283,283,Ageb 283,-110.9737,29.1097
Ageb 284,284,Ageb 284,-110.9726,29.1043
Ageb 285,285,Ageb 285,-110.9619,29.1215
Ageb 286,286,Ageb 286,-110.9764,29.0377
Ageb 287,287,Ageb 287,-110.9563,29.0332
Ageb 288,288,Ageb 288,-110.9505,29.0261
Ageb 289,289,Ageb 289,-110.9508,29.0326
Ageb 290,290,Ageb 290,-110.9664,29.0259
Ageb 291,291,Ageb 291,-110.9503,29.0812
Ageb 292,292,Ageb 292,-111.011,29.1106
Ageb 293,293,Ageb 293,-110.9995,29.1195
Ageb 294,294,Ageb 294,-111.0038,29.1007
Ageb 295,295,Ageb 295,-111.0078,29.0985
Ageb 296,296,Ageb 296,-110.9906,29.1297
Ageb 297,297,Ageb 297,-110.991,29.1253
Ageb 298,298,Ageb 298,-111.0145,29.1407
Ageb 299,299,Ageb 299,-110.9405,29.082
Ageb 300,300,Ageb 300,-110.9431,29.0879
Ageb 301,301,Ageb 301,-110.9821,29.1387
Ageb 302,302,Ageb 302,-110.9612,29.0875
Ageb 303,303,Ageb 303,-110.9749,29.0591
Ageb 304,304,Ageb 304,-110.9749,29.056
Ageb 305,305,Ageb 305,-110.9855,29.0999
Ageb 306,306,Ageb 306,-110.988,29.0957
Ageb 307,307,Ageb 307,-110.9906,29.1072
Ageb 308,308,Ageb 308,-110.981,29.1126
Ageb 309,309,Ageb 309,-110.9817,29.1037
Ageb 310,310,Ageb 310,-110.9823,29.1088
Ageb 311,311,Ageb 311,-111.0289,29.1035
Ageb 312,312,Ageb 312,-111.0021,29.1341
Ageb 313,313,Ageb 313,-110.992,29.0324
Ageb 314,314,Ageb 314,-110.9965,29.1379
Ageb 315,315,Ageb 315,-111.0027,29.1399
Ageb 316,316,Ageb 316,-110.9946,29.0485
Ageb 317,317,Ageb 317,-110.9777,29.0724
Ageb 318,318,Ageb 318,-110.9828,29.0762
Ageb 319,319,Ageb 319,-110.9961,29.1227
Ageb 320,320,Ageb 320,-111.0016,29.1253
Ageb 321,321,Ageb 321,-111.0066,29.1145
Ageb 322,322,Ageb 322,-110.999,29.1142
Ageb 323,323,Ageb 323,-111.0323,29.1356
Ageb 324,324,Ageb 324,-110.931,29.0026
Ageb 325,325,Ageb 325,-110.9354,29.0055
Ageb 326,326,Ageb 326,-111.0028,29.0754
Ageb 327,327,Ageb 327,-110.9902,29.0342
Ageb 328,328,Ageb 328,-110.9897,29.0749
Ageb 329,329,Ageb 329,-111.0338,29.1208
Ageb 330,330,Ageb 330,-111.0089,29.1422
Ageb 331,331,Ageb 331,-110.9707,29.1474
Ageb 332,332,Ageb 332,-110.9166,29.0068
Ageb 333,333,Ageb 333,-110.9966,29.0448
Ageb 334,334,Ageb 334,-110.9819,29.04
Ageb 335,335,Ageb 335,-110.9878,29.0434
Ageb 336,336,Ageb 336,-110.9988,29.1466
Ageb 337,337,Ageb 337,-110.9872,29.0374
Ageb 338,338,Ageb 338,-110.9847,29.0332
Ageb 339,339,Ageb 339,-110.9808,29.0335
Ageb 340,340,Ageb 340,-110.9948,29.0403
Ageb 341,341,Ageb 341,-110.9923,29.1496
Ageb 342,342,Ageb 342,-110.9848,29.1474
Ageb 343,343,Ageb 343,-110.9748,29.1517
Ageb 344,344,Ageb 344,-110.9786,29.1479
Ageb 345,345,Ageb 345,-110.9898,29.1525
Ageb 346,346,Ageb 346,-111.0232,29.1436
Ageb 347,347,Ageb 347,-110.9932,29.1466
Ageb 348,348,Ageb 348,-111.0148,29.1486
Ageb 349,349,Ageb 349,-111.0095,29.1455
Ageb 350,350,Ageb 350,-111.0181,29.1447
Ageb 351,351,Ageb 351,-111.026,29.125
Ageb 352,352,Ageb 352,-110.9205,29.1109
Ageb 353,353,Ageb 353,-110.9758,29.0155
Ageb 354,354,Ageb 354,-110.9636,29.0282
Ageb 355,355,Ageb 355,-110.9684,29.0342
Ageb 356,356,Ageb 356,-110.9289,29.0042
Ageb 357,357,Ageb 357,-110.9301,29.0011
Ageb 358,358,Ageb 358,-110.919,29.0036
Ageb 359,359,Ageb 359,-110.9438,29.038
Ageb 360,360,Ageb 360,-110.9518,29.0399
Ageb 361,361,Ageb 361,-110.9467,29.0463
